,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({2}),frozenset({85}),0.517971442639094,1.0,0.517971442639094,1.0,1.0,0.0,inf
1,frozenset({85}),frozenset({2}),1.0,0.517971442639094,0.517971442639094,0.517971442639094,1.0,0.0,1.0
2,frozenset({24}),frozenset({85}),0.5844411619891678,1.0,0.5844411619891678,1.0,1.0,0.0,inf
3,frozenset({85}),frozenset({24}),1.0,0.5844411619891678,0.5844411619891678,0.5844411619891678,1.0,0.0,1.0
4,frozenset({24}),frozenset({90}),0.5844411619891678,0.9217134416543574,0.5425898572131955,0.9283909014321822,1.0072446158166464,0.0039025823516878333,1.0932487618385647
5,frozenset({90}),frozenset({24}),0.9217134416543574,0.5844411619891678,0.5425898572131955,0.5886752136752138,1.0072446158166464,0.0039025823516878333,1.0102936944886727
6,frozenset({34}),frozenset({53}),0.9741506646971935,0.5672082717872969,0.5672082717872969,0.5822592873388932,1.026535253980288,0.014661956803955212,1.0360295635436578
7,frozenset({53}),frozenset({34}),0.5672082717872969,0.9741506646971935,0.5672082717872969,1.0,1.026535253980288,0.014661956803955212,inf
8,frozenset({34}),frozenset({67}),0.9741506646971935,0.5494830132939439,0.5494830132939439,0.5640636846095527,1.026535253980288,0.014203770653831604,1.0334467921135444
9,frozenset({67}),frozenset({34}),0.5494830132939439,0.9741506646971935,0.5494830132939439,1.0,1.026535253980288,0.014203770653831604,inf
10,frozenset({34}),frozenset({76}),0.9741506646971935,0.5396356474643033,0.5396356474643033,0.5539550164265857,1.026535253980288,0.013949222792651872,1.0321029705290379
11,frozenset({76}),frozenset({34}),0.5396356474643033,0.9741506646971935,0.5396356474643033,1.0,1.026535253980288,0.013949222792651872,inf
12,frozenset({34}),frozenset({85}),0.9741506646971935,1.0,0.9741506646971935,1.0,1.0,0.0,inf
13,frozenset({85}),frozenset({34}),1.0,0.9741506646971935,0.9741506646971935,0.9741506646971935,1.0,0.0,1.0
14,frozenset({34}),frozenset({86}),0.9741506646971935,0.9753815854258986,0.9731659281142294,0.9989891331817033,1.0242033970176878,0.022997308338187916,24.353766617430725
15,frozenset({86}),frozenset({34}),0.9753815854258986,0.9741506646971935,0.9731659281142294,0.997728419989904,1.0242033970176878,0.022997308338187916,11.379451829968511
16,frozenset({90}),frozenset({34}),0.9217134416543574,0.9741506646971935,0.8980797636632201,0.9743589743589743,1.0002138372115628,0.00019200181528988836,1.008124076809454
17,frozenset({34}),frozenset({90}),0.9741506646971935,0.9217134416543574,0.8980797636632201,0.9219105382865808,1.0002138372115628,0.00019200181528988836,1.0025239850281804
18,frozenset({59}),frozenset({36}),0.637124569177745,0.8385032003938946,0.5445593303791236,0.8547140649149924,1.0193330979696709,0.010328340074003184,1.111579035586705
19,frozenset({36}),frozenset({59}),0.8385032003938946,0.637124569177745,0.5445593303791236,0.6494421608925427,1.0193330979696709,0.010328340074003184,1.0351371167341719
20,frozenset({36}),frozenset({63}),0.8385032003938946,0.6075824716888233,0.5150172328902018,0.6142102172636524,1.0109083883812626,0.005557385875890719,1.0171796814519545
21,frozenset({63}),frozenset({36}),0.6075824716888233,0.8385032003938946,0.5150172328902018,0.8476499189627228,1.0109083883812626,0.005557385875890719,1.0600375037975214
22,frozenset({36}),frozenset({85}),0.8385032003938946,1.0,0.8385032003938946,1.0,1.0,0.0,inf
23,frozenset({85}),frozenset({36}),1.0,0.8385032003938946,0.8385032003938946,0.8385032003938946,1.0,0.0,1.0
24,frozenset({90}),frozenset({36}),0.9217134416543574,0.8385032003938946,0.7956671590349581,0.8632478632478632,1.029510516885737,0.022807488361708206,1.1809453471196452
25,frozenset({36}),frozenset({90}),0.8385032003938946,0.9217134416543574,0.7956671590349581,0.9489136817381092,1.029510516885737,0.022807488361708206,1.532436883478497
26,frozenset({85}),frozenset({39}),1.0,0.690792712949286,0.690792712949286,0.690792712949286,1.0,0.0,1.0
27,frozenset({39}),frozenset({85}),0.690792712949286,1.0,0.690792712949286,1.0,1.0,0.0,inf
28,frozenset({85}),frozenset({53}),1.0,0.5672082717872969,0.5672082717872969,0.5672082717872969,1.0,0.0,1.0
29,frozenset({53}),frozenset({85}),0.5672082717872969,1.0,0.5672082717872969,1.0,1.0,0.0,inf
30,frozenset({53}),frozenset({86}),0.5672082717872969,0.9753815854258986,0.5672082717872969,1.0,1.0252397778899545,0.013963768384719244,inf
31,frozenset({86}),frozenset({53}),0.9753815854258986,0.5672082717872969,0.5672082717872969,0.5815244825845532,1.0252397778899545,0.013963768384719244,1.0342103903369901
32,frozenset({90}),frozenset({53}),0.9217134416543574,0.5672082717872969,0.5672082717872969,0.6153846153846154,1.0849358974358974,0.04440478346340726,1.125258493353028
33,frozenset({53}),frozenset({90}),0.5672082717872969,0.9217134416543574,0.5672082717872969,1.0,1.0849358974358976,0.04440478346340726,inf
34,frozenset({59}),frozenset({63}),0.637124569177745,0.6075824716888233,0.5115706548498277,0.8029366306027821,1.321526982783023,0.12446493433513672,1.9913265946457361
35,frozenset({63}),frozenset({59}),0.6075824716888233,0.637124569177745,0.5115706548498277,0.8419773095623986,1.3215269827830227,0.12446493433513672,2.2963501622290377
36,frozenset({59}),frozenset({85}),0.637124569177745,1.0,0.637124569177745,1.0,1.0,0.0,inf
37,frozenset({85}),frozenset({59}),1.0,0.637124569177745,0.637124569177745,0.637124569177745,1.0,0.0,1.0
38,frozenset({85}),frozenset({63}),1.0,0.6075824716888233,0.6075824716888233,0.6075824716888233,1.0,0.0,1.0
39,frozenset({63}),frozenset({85}),0.6075824716888233,1.0,0.6075824716888233,1.0,1.0,0.0,inf
40,frozenset({67}),frozenset({85}),0.5494830132939439,1.0,0.5494830132939439,1.0,1.0,0.0,inf
41,frozenset({85}),frozenset({67}),1.0,0.5494830132939439,0.5494830132939439,0.5494830132939439,1.0,0.0,1.0
42,frozenset({67}),frozenset({86}),0.5494830132939439,0.9753815854258986,0.5494830132939439,1.0,1.0252397778899545,0.01352740062269675,inf
43,frozenset({86}),frozenset({67}),0.9753815854258986,0.5494830132939439,0.5494830132939439,0.563351842503786,1.0252397778899547,0.01352740062269675,1.0317620238898233
44,frozenset({76}),frozenset({85}),0.5396356474643033,1.0,0.5396356474643033,1.0,1.0,0.0,inf
45,frozenset({85}),frozenset({76}),1.0,0.5396356474643033,0.5396356474643033,0.5396356474643033,1.0,0.0,1.0
46,frozenset({76}),frozenset({86}),0.5396356474643033,0.9753815854258986,0.5396356474643033,1.0,1.0252397778899545,0.01328497408823981,inf
47,frozenset({86}),frozenset({76}),0.9753815854258986,0.5396356474643033,0.5396356474643033,0.553255931347804,1.0252397778899545,0.01328497408823981,1.0304878896872487
48,frozenset({85}),frozenset({86}),1.0,0.9753815854258986,0.9753815854258986,0.9753815854258986,1.0,0.0,1.0
49,frozenset({86}),frozenset({85}),0.9753815854258986,1.0,0.9753815854258986,1.0,1.0,0.0,inf
50,frozenset({90}),frozenset({85}),0.9217134416543574,1.0,0.9217134416543574,1.0,1.0,0.0,inf
51,frozenset({85}),frozenset({90}),1.0,0.9217134416543574,0.9217134416543574,0.9217134416543574,1.0,0.0,1.0
52,"frozenset({24, 34})",frozenset({85}),0.5585918266863614,1.0,0.5585918266863614,1.0,1.0,0.0,inf
53,frozenset({85}),"frozenset({24, 34})",1.0,0.5585918266863614,0.5585918266863614,0.5585918266863614,1.0,0.0,1.0
54,"frozenset({24, 34})",frozenset({86}),0.5585918266863614,0.9753815854258986,0.5576070901033974,0.998237108858528,1.0234323917676276,0.012766908584105452,13.96479566715922
55,"frozenset({24, 86})",frozenset({34}),0.5598227474150664,0.9741506646971935,0.5576070901033974,0.9960422163588392,1.0224724495450102,0.012255388596401406,6.5312653865092996
56,frozenset({34}),"frozenset({24, 86})",0.9741506646971935,0.5598227474150664,0.5576070901033974,0.5724033358605004,1.02247244954501,0.012255388596401406,1.0294216243963252
57,frozenset({86}),"frozenset({24, 34})",0.9753815854258986,0.5585918266863614,0.5576070901033974,0.571680969207471,1.0234323917676276,0.012766908584105452,1.030559329798843
58,"frozenset({24, 34})",frozenset({90}),0.5585918266863614,0.9217134416543574,0.5189561792220581,0.9290436315557513,1.0079527861590443,0.0040945841669775,1.1033055955668492
59,frozenset({90}),"frozenset({24, 34})",0.9217134416543574,0.5585918266863614,0.5189561792220581,0.563034188034188,1.0079527861590443,0.0040945841669775,1.0101663819598183
60,"frozenset({24, 86})",frozenset({85}),0.5598227474150664,1.0,0.5598227474150664,1.0,1.0,0.0,inf
61,frozenset({85}),"frozenset({24, 86})",1.0,0.5598227474150664,0.5598227474150664,0.5598227474150664,1.0,0.0,1.0
62,"frozenset({24, 90})",frozenset({85}),0.5425898572131955,1.0,0.5425898572131955,1.0,1.0,0.0,inf
63,"frozenset({24, 85})",frozenset({90}),0.5844411619891678,0.9217134416543574,0.5425898572131955,0.9283909014321822,1.0072446158166464,0.0039025823516878333,1.0932487618385647
64,"frozenset({90, 85})",frozenset({24}),0.9217134416543574,0.5844411619891678,0.5425898572131955,0.5886752136752138,1.0072446158166464,0.0039025823516878333,1.0102936944886727
65,frozenset({24}),"frozenset({90, 85})",0.5844411619891678,0.9217134416543574,0.5425898572131955,0.9283909014321822,1.0072446158166464,0.0039025823516878333,1.0932487618385647
66,frozenset({90}),"frozenset({24, 85})",0.9217134416543574,0.5844411619891678,0.5425898572131955,0.5886752136752138,1.0072446158166464,0.0039025823516878333,1.0102936944886727
67,frozenset({85}),"frozenset({24, 90})",1.0,0.5425898572131955,0.5425898572131955,0.5425898572131955,1.0,0.0,1.0
68,"frozenset({24, 86})",frozenset({90}),0.5598227474150664,0.9217134416543574,0.517971442639094,0.9252418645558487,1.0038281126671629,0.001975291402755097,1.0471978451646535
