,support,itemsets
0,0.517971442639094,frozenset({2})
1,0.5844411619891678,frozenset({24})
2,0.9741506646971935,frozenset({34})
3,0.8385032003938946,frozenset({36})
4,0.690792712949286,frozenset({39})
5,0.5672082717872969,frozenset({53})
6,0.637124569177745,frozenset({59})
7,0.6075824716888233,frozenset({63})
8,0.5494830132939439,frozenset({67})
9,0.5396356474643033,frozenset({76})
10,1.0,frozenset({85})
11,0.9753815854258986,frozenset({86})
12,0.9217134416543574,frozenset({90})
13,0.517971442639094,"frozenset({2, 85})"
14,0.5585918266863614,"frozenset({24, 34})"
15,0.5844411619891678,"frozenset({24, 85})"
16,0.5598227474150664,"frozenset({24, 86})"
17,0.5425898572131955,"frozenset({24, 90})"
18,0.8126538650910882,"frozenset({34, 36})"
19,0.6649433776464796,"frozenset({34, 39})"
20,0.5672082717872969,"frozenset({34, 53})"
21,0.6134908911866076,"frozenset({34, 59})"
22,0.5839487936976858,"frozenset({34, 63})"
23,0.5494830132939439,"frozenset({34, 67})"
24,0.5396356474643033,"frozenset({34, 76})"
25,0.9741506646971935,"frozenset({34, 85})"
26,0.9731659281142294,"frozenset({34, 86})"
27,0.8980797636632201,"frozenset({90, 34})"
28,0.5608074839980305,"frozenset({36, 39})"
29,0.5445593303791236,"frozenset({59, 36})"
30,0.5150172328902018,"frozenset({36, 63})"
31,0.8385032003938946,"frozenset({36, 85})"
32,0.8148695224027572,"frozenset({36, 86})"
33,0.7956671590349581,"frozenset({90, 36})"
34,0.690792712949286,"frozenset({85, 39})"
35,0.6671590349581487,"frozenset({86, 39})"
36,0.6125061546036435,"frozenset({90, 39})"
37,0.5672082717872969,"frozenset({85, 53})"
38,0.5672082717872969,"frozenset({53, 86})"
39,0.5672082717872969,"frozenset({90, 53})"
40,0.5115706548498277,"frozenset({59, 63})"
41,0.637124569177745,"frozenset({59, 85})"
42,0.6134908911866076,"frozenset({59, 86})"
43,0.5829640571147218,"frozenset({90, 59})"
44,0.6075824716888233,"frozenset({85, 63})"
45,0.5839487936976858,"frozenset({86, 63})"
46,0.5534219596258001,"frozenset({90, 63})"
47,0.5494830132939439,"frozenset({67, 85})"
48,0.5494830132939439,"frozenset({67, 86})"
49,0.5396356474643033,"frozenset({76, 85})"
50,0.5396356474643033,"frozenset({76, 86})"
51,0.9753815854258986,"frozenset({85, 86})"
52,0.9217134416543574,"frozenset({90, 85})"
53,0.897095027080256,"frozenset({90, 86})"
54,0.5585918266863614,"frozenset({24, 34, 85})"
55,0.5576070901033974,"frozenset({24, 34, 86})"
56,0.5189561792220581,"frozenset({24, 90, 34})"
57,0.5598227474150664,"frozenset({24, 85, 86})"
58,0.5425898572131955,"frozenset({24, 90, 85})"
59,0.517971442639094,"frozenset({24, 90, 86})"
60,0.5349581486952241,"frozenset({34, 36, 39})"
61,0.5209256523879862,"frozenset({34, 59, 36})"
62,0.8126538650910882,"frozenset({34, 36, 85})"
63,0.8126538650910882,"frozenset({34, 36, 86})"
64,0.7720334810438207,"frozenset({90, 34, 36})"
65,0.6649433776464796,"frozenset({34, 85, 39})"
66,0.6649433776464796,"frozenset({34, 86, 39})"
67,0.5888724766125062,"frozenset({90, 34, 39})"
68,0.5672082717872969,"frozenset({34, 85, 53})"
69,0.5672082717872969,"frozenset({34, 53, 86})"
70,0.5672082717872969,"frozenset({90, 34, 53})"
71,0.6134908911866076,"frozenset({34, 59, 85})"
72,0.6134908911866076,"frozenset({34, 59, 86})"
73,0.5593303791235844,"frozenset({90, 59, 34})"
74,0.5839487936976858,"frozenset({34, 85, 63})"
75,0.5839487936976858,"frozenset({34, 86, 63})"
76,0.5297882816346627,"frozenset({90, 34, 63})"
77,0.5494830132939439,"frozenset({34, 67, 85})"
78,0.5494830132939439,"frozenset({34, 67, 86})"
79,0.5396356474643033,"frozenset({34, 76, 85})"
80,0.5396356474643033,"frozenset({34, 76, 86})"
81,0.9731659281142294,"frozenset({34, 85, 86})"
82,0.8980797636632201,"frozenset({90, 34, 85})"
83,0.897095027080256,"frozenset({90, 34, 86})"
84,0.5608074839980305,"frozenset({36, 85, 39})"
85,0.5371738060068931,"frozenset({36, 86, 39})"
86,0.517971442639094,"frozenset({90, 36, 39})"
87,0.5445593303791236,"frozenset({59, 36, 85})"
88,0.5209256523879862,"frozenset({59, 36, 86})"
89,0.5081240768094535,"frozenset({90, 59, 36})"
90,0.5150172328902018,"frozenset({36, 85, 63})"
91,0.8148695224027572,"frozenset({36, 85, 86})"
92,0.7956671590349581,"frozenset({90, 36, 85})"
93,0.7720334810438207,"frozenset({90, 36, 86})"
94,0.6671590349581487,"frozenset({85, 86, 39})"
95,0.6125061546036435,"frozenset({90, 85, 39})"
96,0.5888724766125062,"frozenset({90, 86, 39})"
97,0.5672082717872969,"frozenset({85, 53, 86})"
98,0.5672082717872969,"frozenset({90, 85, 53})"
99,0.5672082717872969,"frozenset({90, 53, 86})"
100,0.5115706548498277,"frozenset({59, 85, 63})"
101,0.6134908911866076,"frozenset({59, 85, 86})"
102,0.5829640571147218,"frozenset({90, 59, 85})"
103,0.5593303791235844,"frozenset({90, 59, 86})"
104,0.5839487936976858,"frozenset({85, 86, 63})"
105,0.5534219596258001,"frozenset({90, 85, 63})"
106,0.5297882816346627,"frozenset({90, 86, 63})"
107,0.5494830132939439,"frozenset({67, 85, 86})"
108,0.5396356474643033,"frozenset({76, 85, 86})"
109,0.897095027080256,"frozenset({90, 85, 86})"
110,0.5576070901033974,"frozenset({24, 34, 85, 86})"
111,0.5189561792220581,"frozenset({24, 90, 34, 85})"
112,0.517971442639094,"frozenset({24, 90, 34, 86})"
113,0.517971442639094,"frozenset({24, 90, 85, 86})"
114,0.5349581486952241,"frozenset({34, 36, 85, 39})"
115,0.5349581486952241,"frozenset({34, 36, 86, 39})"
116,0.5209256523879862,"frozenset({34, 59, 36, 85})"
117,0.5209256523879862,"frozenset({34, 59, 36, 86})"
118,0.8126538650910882,"frozenset({34, 36, 85, 86})"
119,0.7720334810438207,"frozenset({90, 34, 85, 36})"
120,0.7720334810438207,"frozenset({86, 90, 34, 36})"
121,0.6649433776464796,"frozenset({34, 85, 86, 39})"
122,0.5888724766125062,"frozenset({90, 34, 85, 39})"
123,0.5888724766125062,"frozenset({90, 34, 86, 39})"
124,0.5672082717872969,"frozenset({34, 85, 53, 86})"
125,0.5672082717872969,"frozenset({90, 85, 34, 53})"
126,0.5672082717872969,"frozenset({90, 34, 53, 86})"
127,0.6134908911866076,"frozenset({34, 59, 85, 86})"
128,0.5593303791235844,"frozenset({90, 59, 34, 85})"
129,0.5593303791235844,"frozenset({90, 59, 34, 86})"
130,0.5839487936976858,"frozenset({34, 85, 86, 63})"
131,0.5297882816346627,"frozenset({90, 34, 85, 63})"
132,0.5297882816346627,"frozenset({90, 34, 86, 63})"
133,0.5494830132939439,"frozenset({34, 67, 85, 86})"
134,0.5396356474643033,"frozenset({34, 76, 85, 86})"
135,0.897095027080256,"frozenset({90, 34, 85, 86})"
136,0.5371738060068931,"frozenset({36, 85, 86, 39})"
137,0.517971442639094,"frozenset({90, 36, 85, 39})"
138,0.5209256523879862,"frozenset({59, 36, 85, 86})"
139,0.5081240768094535,"frozenset({90, 59, 36, 85})"
140,0.7720334810438207,"frozenset({90, 36, 85, 86})"
141,0.5888724766125062,"frozenset({90, 85, 86, 39})"
142,0.5672082717872969,"frozenset({90, 85, 53, 86})"
143,0.5593303791235844,"frozenset({90, 59, 85, 86})"
144,0.5297882816346627,"frozenset({90, 85, 86, 63})"
145,0.517971442639094,"frozenset({34, 85, 86, 24, 90})"
146,0.5349581486952241,"frozenset({34, 36, 39, 85, 86})"
147,0.5209256523879862,"frozenset({34, 36, 85, 86, 59})"
148,0.7720334810438207,"frozenset({34, 36, 85, 86, 90})"
149,0.5888724766125062,"frozenset({34, 39, 85, 86, 90})"
150,0.5672082717872969,"frozenset({34, 85, 53, 86, 90})"
151,0.5593303791235844,"frozenset({34, 85, 86, 90, 59})"
152,0.5297882816346627,"frozenset({34, 85, 86, 90, 63})"
